"compareStrain","vaccineStrain","Gene","vaccine_code","Nmedian","Smedian"
"KJ855424_A_Mexico_QUE2270_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",4,6
"CY043775_A_Hong_Kong_HKU78_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,7
"KJ855472_A_Mexico_TLA2227_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",6,6
"CY002007_A_New_York_359_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,15
"CY002015_A_New_York_361_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",1,17
"CY002079_A_New_York_396_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",2,18
"CY002199_A_New_York_366_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,17
"CY002231_A_New_York_372_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",4,17
"CY002255_A_New_York_381_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",1,17
"CY002263_A_New_York_383_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",2,22
"CY002447_A_New_York_365_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",2,22
"CY002463_A_New_York_373_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",0,16
"CY002599_A_New_York_377_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",1,17
"CY002719_A_New_York_319_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",4,16
"CY002791_A_New_York_232_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",1,18
"CY003079_A_New_York_123_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",1,17
"CY003647_A_New_York_463_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,18
"CY003671_A_New_York_471_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",2,16
"CY006091_A_New_York_465_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",1,18
"CY019156_A_New_York_900_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",4,17
"CY019164_A_New_York_900_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",4,17
"CY019180_A_New_York_905_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",1,17
"CY019260_A_New_York_908_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",1,17
"CY019300_A_New_York_913_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,18
"CY019308_A_New_York_918_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",1,18
"CY019324_A_New_York_918_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",1,18
"CY020540_A_New_York_913_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,18
"CY038686_A_Hong_Kong_HKU42_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",2,4
"CY038702_A_Hong_Kong_HKU62_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,6
"CY038710_A_Hong_Kong_HKU65_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,5
"CY038718_A_Hong_Kong_HKU67_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,9
"CY038734_A_Hong_Kong_HKU69_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",4,6
"CY038742_A_Hong_Kong_HKU70_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",4,7
"CY039054_A_Hong_Kong_HKU40_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",2,4
"CY039062_A_Hong_Kong_HKU45_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",0,18
"CY039070_A_Hong_Kong_HKU47_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,5
"CY039214_A_Hong_Kong_HKU58_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",4,6
"CY039230_A_Hong_Kong_HKU61_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,6
"CY039238_A_Hong_Kong_HKU63_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",4,6
"CY040329_A_Hong_Kong_HKU52_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,6
"CY040345_A_Hong_Kong_HKU75_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,7
"CY040353_A_Hong_Kong_HKU76_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,8
"CY040361_A_Hong_Kong_HKU77_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,5
"CY043767_A_Hong_Kong_HKU72_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,6
"CY044404_A_Hong_Kong_HKU73_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,6
"CY090996_A_South_Carolina_NHRC0001_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,18
"CY091012_A_Illinois_NHRC0001_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,20
"CY091140_A_Texas_NHRC0001_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",2,20
"CY091316_A_Hong_Kong_NHRC0001_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,7
"CY091436_A_California_NHRC0002_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",3,20
"CY112996_A_Netherlands_132_2004","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",2,18
"EPI502253_A_Wisconsin_67_2005","EPI358781_A_Fujian_411_2002","PA","2.Fuj02",4,11
"KJ855424_A_Mexico_QUE2270_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,10
"KJ855472_A_Mexico_TLA2227_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",3,10
"CY100575_A_Mexico_InDRE2246_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,10
"CY043775_A_Hong_Kong_HKU78_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,14
"CY038758_A_Hong_Kong_HKU79_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,11
"CY044404_A_Hong_Kong_HKU73_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,10
"CY091316_A_Hong_Kong_NHRC0001_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,9
"CY039230_A_Hong_Kong_HKU61_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,9
"CY039214_A_Hong_Kong_HKU58_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,12
"CY038742_A_Hong_Kong_HKU70_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,10
"CY040353_A_Hong_Kong_HKU76_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",3,9
"EPI502253_A_Wisconsin_67_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",4,11
"CY040361_A_Hong_Kong_HKU77_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,11
"CY038710_A_Hong_Kong_HKU65_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",3,9
"CY038718_A_Hong_Kong_HKU67_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",4,9
"CY040345_A_Hong_Kong_HKU75_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,9
"CY038702_A_Hong_Kong_HKU62_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,10
"CY038734_A_Hong_Kong_HKU69_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,9
"CY039070_A_Hong_Kong_HKU47_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,10
"CY043767_A_Hong_Kong_HKU72_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,11
"CY040329_A_Hong_Kong_HKU52_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,10
"CY039238_A_Hong_Kong_HKU63_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,9
"CY039054_A_Hong_Kong_HKU40_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,9
"CY038686_A_Hong_Kong_HKU42_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",3,12
"CY019180_A_New_York_905_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,8
"CY002255_A_New_York_381_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,8
"CY019260_A_New_York_908_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,8
"CY003079_A_New_York_123_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,9
"CY006091_A_New_York_465_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,12
"CY002599_A_New_York_377_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,9
"CY019308_A_New_York_918_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,9
"CY019300_A_New_York_913_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,9
"CY019324_A_New_York_918_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,9
"CY020540_A_New_York_913_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,9
"CY002791_A_New_York_232_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,8
"CY002015_A_New_York_361_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,9
"CY003671_A_New_York_471_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",3,9
"CY002719_A_New_York_319_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,9
"CY003647_A_New_York_463_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,9
"CY002447_A_New_York_365_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",3,8
"CY019164_A_New_York_900_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,5
"CY019156_A_New_York_900_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,5
"CY002231_A_New_York_372_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,5
"CY002199_A_New_York_366_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,8
"CY091140_A_Texas_NHRC0001_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",3,9
"CY002079_A_New_York_396_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,9
"CY039062_A_Hong_Kong_HKU45_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",0,13
"CY002463_A_New_York_373_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,10
"CY090996_A_South_Carolina_NHRC0001_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",2,11
"CY091012_A_Illinois_NHRC0001_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,12
"CY002263_A_New_York_383_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,8
"CY112996_A_Netherlands_132_2004","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",3,8
"CY002007_A_New_York_359_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,8
"CY091436_A_California_NHRC0002_2005","EPI358781_A_Fujian_411_2002","PB1","2.Fuj02",1,13
"CY100575_A_Mexico_InDRE2246_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,21
"KJ855472_A_Mexico_TLA2227_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,21
"KJ855424_A_Mexico_QUE2270_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,20
"CY043775_A_Hong_Kong_HKU78_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,16
"CY038758_A_Hong_Kong_HKU79_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,18
"CY002007_A_New_York_359_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,15
"CY002015_A_New_York_361_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,12
"CY002079_A_New_York_396_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,13
"CY002199_A_New_York_366_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,17
"CY002231_A_New_York_372_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,13
"CY002255_A_New_York_381_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,11
"CY002263_A_New_York_383_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,15
"CY002447_A_New_York_365_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",2,14
"CY002463_A_New_York_373_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,14
"CY002599_A_New_York_377_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,13
"CY002719_A_New_York_319_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,14
"CY002791_A_New_York_232_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,11
"CY003079_A_New_York_123_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,13
"CY003647_A_New_York_463_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,13
"CY003671_A_New_York_471_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",4,11
"CY006091_A_New_York_465_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",2,14
"CY019156_A_New_York_900_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,13
"CY019164_A_New_York_900_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,13
"CY019180_A_New_York_905_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,11
"CY019260_A_New_York_908_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,11
"CY019300_A_New_York_913_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,13
"CY019308_A_New_York_918_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,13
"CY019324_A_New_York_918_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,13
"CY020540_A_New_York_913_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,13
"CY038686_A_Hong_Kong_HKU42_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,6
"CY038702_A_Hong_Kong_HKU62_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,15
"CY038710_A_Hong_Kong_HKU65_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,17
"CY038718_A_Hong_Kong_HKU67_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,16
"CY038734_A_Hong_Kong_HKU69_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,18
"CY038742_A_Hong_Kong_HKU70_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,16
"CY039054_A_Hong_Kong_HKU40_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,7
"CY039062_A_Hong_Kong_HKU45_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,14
"CY039070_A_Hong_Kong_HKU47_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,18
"CY039214_A_Hong_Kong_HKU58_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,15
"CY039230_A_Hong_Kong_HKU61_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,14
"CY039238_A_Hong_Kong_HKU63_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,15
"CY040329_A_Hong_Kong_HKU52_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,14
"CY040345_A_Hong_Kong_HKU75_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,15
"CY040353_A_Hong_Kong_HKU76_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,17
"CY040361_A_Hong_Kong_HKU77_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,18
"CY043767_A_Hong_Kong_HKU72_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,15
"CY044404_A_Hong_Kong_HKU73_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",2,8
"CY090996_A_South_Carolina_NHRC0001_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,17
"CY091012_A_Illinois_NHRC0001_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,18
"CY091140_A_Texas_NHRC0001_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,14
"CY091316_A_Hong_Kong_NHRC0001_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,18
"CY091436_A_California_NHRC0002_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,11
"CY112996_A_Netherlands_132_2004","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",0,15
"EPI502253_A_Wisconsin_67_2005","EPI358781_A_Fujian_411_2002","PB2","2.Fuj02",1,18
"CY113004_A_Netherlands_548_2005","EPI367109_A_California_7_2004","HA","3.Cal04",2,10
"CY172198_A_New_York_1001_2005","EPI367109_A_California_7_2004","HA","3.Cal04",2,10
"CY091532_A_California_NHRC0006_2005","EPI367109_A_California_7_2004","HA","3.Cal04",4,6
"CY091036_A_Illinois_NHRC0002_2005","EPI367109_A_California_7_2004","HA","3.Cal04",2,8
"CY020372_A_New_York_938_2006","EPI367109_A_California_7_2004","HA","3.Cal04",4,9
"CY019866_A_New_York_938_2006","EPI367109_A_California_7_2004","HA","3.Cal04",4,9
"CY172390_A_New_York_1028_2006","EPI367109_A_California_7_2004","HA","3.Cal04",4,14
"CY019866_A_New_York_938_2006","EPI367109_A_California_7_2004","M","3.Cal04",3,5
"CY020372_A_New_York_938_2006","EPI367109_A_California_7_2004","M","3.Cal04",3,5
"CY091036_A_Illinois_NHRC0002_2005","EPI367109_A_California_7_2004","M","3.Cal04",3,7
"CY091532_A_California_NHRC0006_2005","EPI367109_A_California_7_2004","M","3.Cal04",5,2
"CY113004_A_Netherlands_548_2005","EPI367109_A_California_7_2004","M","3.Cal04",4,5
"CY172198_A_New_York_1001_2005","EPI367109_A_California_7_2004","M","3.Cal04",4,7
"CY172390_A_New_York_1028_2006","EPI367109_A_California_7_2004","M","3.Cal04",3,7
"CY113004_A_Netherlands_548_2005","EPI367109_A_California_7_2004","NA","3.Cal04",3,10
"CY019866_A_New_York_938_2006","EPI367109_A_California_7_2004","NA","3.Cal04",4,9
"CY020372_A_New_York_938_2006","EPI367109_A_California_7_2004","NA","3.Cal04",4,9
"CY091036_A_Illinois_NHRC0002_2005","EPI367109_A_California_7_2004","NA","3.Cal04",1,10
"CY172390_A_New_York_1028_2006","EPI367109_A_California_7_2004","NA","3.Cal04",6,13
"CY172198_A_New_York_1001_2005","EPI367109_A_California_7_2004","NA","3.Cal04",2,9
"CY091532_A_California_NHRC0006_2005","EPI367109_A_California_7_2004","NA","3.Cal04",3,8
"CY091532_A_California_NHRC0006_2005","EPI367109_A_California_7_2004","NP","3.Cal04",0,5
"CY172390_A_New_York_1028_2006","EPI367109_A_California_7_2004","NP","3.Cal04",1,0
"CY019866_A_New_York_938_2006","EPI367109_A_California_7_2004","NP","3.Cal04",5,22
"CY020372_A_New_York_938_2006","EPI367109_A_California_7_2004","NP","3.Cal04",5,22
"CY113004_A_Netherlands_548_2005","EPI367109_A_California_7_2004","NP","3.Cal04",5,22
"CY172198_A_New_York_1001_2005","EPI367109_A_California_7_2004","NP","3.Cal04",6,21
"CY091036_A_Illinois_NHRC0002_2005","EPI367109_A_California_7_2004","NP","3.Cal04",7,22
"CY172390_A_New_York_1028_2006","EPI367109_A_California_7_2004","NS","3.Cal04",0,1
"CY091532_A_California_NHRC0006_2005","EPI367109_A_California_7_2004","NS","3.Cal04",2,1
"CY020372_A_New_York_938_2006","EPI367109_A_California_7_2004","NS","3.Cal04",1,1
"CY019866_A_New_York_938_2006","EPI367109_A_California_7_2004","NS","3.Cal04",1,1
"CY113004_A_Netherlands_548_2005","EPI367109_A_California_7_2004","NS","3.Cal04",1,1
"CY091036_A_Illinois_NHRC0002_2005","EPI367109_A_California_7_2004","NS","3.Cal04",1,3
"CY172198_A_New_York_1001_2005","EPI367109_A_California_7_2004","NS","3.Cal04",1,3
"CY172198_A_New_York_1001_2005","EPI367109_A_California_7_2004","PA","3.Cal04",10,25
"CY091036_A_Illinois_NHRC0002_2005","EPI367109_A_California_7_2004","PA","3.Cal04",8,26
"CY019866_A_New_York_938_2006","EPI367109_A_California_7_2004","PA","3.Cal04",8,28
"CY020372_A_New_York_938_2006","EPI367109_A_California_7_2004","PA","3.Cal04",8,28
"CY113004_A_Netherlands_548_2005","EPI367109_A_California_7_2004","PA","3.Cal04",9,29
"CY172390_A_New_York_1028_2006","EPI367109_A_California_7_2004","PA","3.Cal04",1,5
"CY091532_A_California_NHRC0006_2005","EPI367109_A_California_7_2004","PA","3.Cal04",2,6
"CY019866_A_New_York_938_2006","EPI367109_A_California_7_2004","PB1","3.Cal04",2,24
"CY020372_A_New_York_938_2006","EPI367109_A_California_7_2004","PB1","3.Cal04",2,24
"CY091036_A_Illinois_NHRC0002_2005","EPI367109_A_California_7_2004","PB1","3.Cal04",1,26
"CY172198_A_New_York_1001_2005","EPI367109_A_California_7_2004","PB1","3.Cal04",1,26
"CY113004_A_Netherlands_548_2005","EPI367109_A_California_7_2004","PB1","3.Cal04",1,23
"CY172390_A_New_York_1028_2006","EPI367109_A_California_7_2004","PB1","3.Cal04",1,2
"CY091532_A_California_NHRC0006_2005","EPI367109_A_California_7_2004","PB1","3.Cal04",0,9
"CY019866_A_New_York_938_2006","EPI367109_A_California_7_2004","PB2","3.Cal04",0,13
"CY020372_A_New_York_938_2006","EPI367109_A_California_7_2004","PB2","3.Cal04",0,13
"CY113004_A_Netherlands_548_2005","EPI367109_A_California_7_2004","PB2","3.Cal04",2,10
"CY091532_A_California_NHRC0006_2005","EPI367109_A_California_7_2004","PB2","3.Cal04",0,7
"CY172390_A_New_York_1028_2006","EPI367109_A_California_7_2004","PB2","3.Cal04",2,7
"CY091036_A_Illinois_NHRC0002_2005","EPI367109_A_California_7_2004","PB2","3.Cal04",4,27
"CY172198_A_New_York_1001_2005","EPI367109_A_California_7_2004","PB2","3.Cal04",4,25
"CY113020_A_Netherlands_377_2008","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",5,15
"CY173286_A_New_York_1155_2008","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",3,14
"CY044827_A_Boston_88_2008","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",3,13
"CY037326_A_Korea_AF05_2008","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",5,18
"CY044603_A_Boston_40_2008","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",5,16
"CY114412_A_Netherlands_69_2007","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",2,15
"CY040105_A_Taiwan_70120_2008","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",1,12
"CY027570_A_Texas_UR06_0358_2007","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",1,9
"CY037310_A_Qatar_AF02_2008","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",3,13
"CY025428_A_California_UR06_0347_2007","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",2,10
"CY114420_A_Netherlands_348_2007","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",0,10
"EPI577980_A_Brisbane_10_2007","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",2,9
"CY040073_A_Taiwan_2361_2007","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",2,13
"CY114404_A_Netherlands_363_2006","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",6,6
"CY040057_A_Taiwan_70307_2007","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",1,6
"CY039406_A_Taiwan_70002_2007","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",2,5
"CY039414_A_Taiwan_70113_2007","EPI502253_A_Wisconsin_67_2005","HA","4.Wis05",2,7
"CY113020_A_Netherlands_377_2008","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",1,4
"CY044827_A_Boston_88_2008","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",1,3
"CY173286_A_New_York_1155_2008","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",1,3
"CY044603_A_Boston_40_2008","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",0,3
"CY037326_A_Korea_AF05_2008","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",1,4
"CY114412_A_Netherlands_69_2007","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",0,2
"CY040105_A_Taiwan_70120_2008","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",0,3
"EPI577980_A_Brisbane_10_2007","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",0,2
"CY027570_A_Texas_UR06_0358_2007","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",0,1
"CY037310_A_Qatar_AF02_2008","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",1,2
"CY025428_A_California_UR06_0347_2007","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",0,0
"CY040073_A_Taiwan_2361_2007","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",1,2
"CY039406_A_Taiwan_70002_2007","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",0,5
"CY040057_A_Taiwan_70307_2007","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",0,5
"CY039414_A_Taiwan_70113_2007","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",0,2
"CY114420_A_Netherlands_348_2007","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",0,2
"CY114404_A_Netherlands_363_2006","EPI502253_A_Wisconsin_67_2005","M","4.Wis05",6,10
"CY113020_A_Netherlands_377_2008","EPI502253_A_Wisconsin_67_2005","NA","4.Wis05",7,5
"CY173286_A_New_York_1155_2008","EPI502253_A_Wisconsin_67_2005","NA","4.Wis05",8,5
"CY044827_A_Boston_88_2008","EPI502253_A_Wisconsin_67_2005","NA","4.Wis05",8,5
"CY025428_A_California_UR06_0347_2007","EPI502253_A_Wisconsin_67_2005","NA","4.Wis05",6,4
"CY027570_A_Texas_UR06_0358_2007","EPI502253_A_Wisconsin_67_2005","NA","4.Wis05",8,4
"CY037310_A_Qatar_AF02_2008","EPI502253_A_Wisconsin_67_2005","NA","4.Wis05",9,7
"CY037326_A_Korea_AF05_2008","EPI502253_A_Wisconsin_67_2005","NA","4.Wis05",8,5
"CY039406_A_Taiwan_70002_2007","EPI502253_A_Wisconsin_67_2005","NA","4.Wis05",5,2
"CY039414_A_Taiwan_70113_2007","EPI502253_A_Wisconsin_67_2005","NA","4.Wis05",4,1
"CY040057_A_Taiwan_70307_2007","EPI502253_A_Wisconsin_67_2005","NA","4.Wis05",5,1
"CY040073_A_Taiwan_2361_2007","EPI502253_A_Wisconsin_67_2005","NA","4.Wis05",7,4
"CY040105_A_Taiwan_70120_2008","EPI502253_A_Wisconsin_67_2005","NA","4.Wis05",6,7
"CY044603_A_Boston_40_2008","EPI502253_A_Wisconsin_67_2005","NA","4.Wis05",8,7
"CY114404_A_Netherlands_363_2006","EPI502253_A_Wisconsin_67_2005","NA","4.Wis05",5,6
